ID,Start time,Completion time,How often do you typically attend Sunday worship services?,"Beyond Sunday worship, in which PHCRC ministries or groups do you regularly participate?",Please describe what you most appreciate about PHCRC's worship services.,"What changes or additions, if any, would you suggest for our worship services to enhance your spiritual experience?",Do you feel the current blend of traditional and occasional contemporary music in our services effectively meets your spiritual needs? Please explain.,What proportion of traditional vs. contemporary music would you ideally prefer in our worship services? Consider 1 as totally traditional and 5 totally contemporary.,How would you describe the current level of member involvement in planning and participating in liturgy/worship? Consider 1 as no involvement at all and 5 as too much.,"Are there ways you would like to see more members, or new members, involved in worship leadership, music, or technology?",Which of our current discipleship programs have you or your family members found most beneficial? (max of 3),What new or expanded ministries for spiritual growth would you like to see for yourself or other age groups within the church?,"How can PHCRC better foster a sense of belonging for members, especially those who may struggle with commitment beyond Sunday mornings?","How well do you believe PHCRC is currently living out its mission statement: ""EQUIPPING DISCIPLES TO BECOME NEIGHBORS; INVITING NEIGHBORS TO BECOME DISCIPLES""? Please provide examples.","What are your thoughts on our current community outreach efforts (e.g., community nights, GEMS/Cadets, prayer walks, food pantry, Family Promise)? ",What new or expanded community outreach initiatives would you like to see PHCRC pursue?,"Do you feel our missional focus is adequately balanced between ""local and global"" efforts? Consider 1 as not balanced at all and 5 totally balanced.","In what ways do you believe PHCRC is effectively responding to ""compassion, mercy, and justice needs""? ","What additional actions, either church-based or personal, could we take to address these needs in our community and beyond?","From your perspective, what are PHCRC's greatest strengths or gifts as a church today? ","Thinking about PHCRC's challenges with welcoming new members, bridging age gaps, and embracing diverse families and backgrounds, which of the following best reflects your perception?","Which of the cultural challenges listed below do you feel are most pressing for PHCRC, and how can a new pastor help us navigate them?","What does being ""Christians of Reformed accent"" mean to you personally, and how do you see this reflected in our church life?",What is your perspective on PHCRC's relationship with the Christian Reformed denomination today?,"What are the most important goals or opportunities you envision for PHCRC in the next 3-5 years? (Consider the stated goals: expanding kids/youth, expanding diversity, growing community outreach).","Beyond the general responsibilities of a Minister of Worship and Leadership, what specific gifts, skills, or personal characteristics are most important to you in our next pastor? (Consider how th...",How do you prefer to see leadership shared between lay leaders and pastoral staff in our church?,"If you could identify one or two top priorities for our new pastor to focus on in their first year, what would they be? (e.g., fostering belonging, enhancing diversity, strengthening youth program..."
57,11/27/25 20:22:28,11/27/25 21:08:15,Weekly,"Small Groups: Equip Group, Oasis Group;","Currently, the preaching from Pastor Stan, the music format, and just getting together with fellow congregants each week",Maybe some more of the traditional hymns found in the grey hymnal,Yes,3,3,I think we do a good job at this already,Friendship Group;Small Groups;,Can't think of any....I think the church does a good job at this topic already,"There must be a way to occasionally send out or make available a list of all the ways to get involved in the church.  Maybe, some people are not aware of the many opportunities which are available to get involved",I think the church does a pretty good job at this already,I think the church does a pretty good job at this already,Can't think of any,3,"Food Pantry program is a wonderful way to provide and minister to the community.  Also, Gems and Cadets.  The Friendship program also ranks up there regarding all of the above listed items...compassion, mercy, and justice",Can't think of any right now,Value for diversity;Community presence;Youth program ministries;Worship services;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;Busy lives/competing priorities ;","Being ""Christians of Reformed accent"" means that we wholeheartedly believe the teachings of the Reformed doctrine and helps us feel as part of the family of God through the Reformed way","Even though PHCRC agreed to stick with Synod's decision on the HSR issue,  there will always be a deep rooted animosity of how it was handled and ""directed "" by Synod.  I suspect many members, including myself blame Synod for the PHCRC church member population diminishing over the course of a number of months.  While still, feeling a tug to stay deeply rooted within the Christian Reformed faith","Definitely expanding all of the above listed areas.  Additionally, finding a new minister who shares that same passions as this church does, as well a gifted minister of the Word.  Also, making sure there are adequate mentors continuing on for the current Friendship program","Definitely, being an engaging speaker when giving sermons on Sunday mornings.  Must be willing to be flexible in working with other church staff, especially with Pastor Sarah.","I think it must be discussed quite early on which roles each pastor would be responsible for.  This would include the job title such as co-pastors or having a senior pastor who does maybe 70-80% of the preaching.  Each pastor and lay leaders need to be able to adjust to whatever ""unforeseen"" circumstances may happen and collectively work as a group.",I would have to say fostering belonging is towards the top.  This should include brainstorming ideas how to get more new people interested and attending Plymouth Heights church 
58,11/28/25 14:44:40,11/28/25 15:09:23,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Mentoring at Mulick;","Sermon, music ",More people ,Yes ,2,2,No ,Book Clubs;,Ok,Ok,"Food drives monthly, outdoor picnics in summer ",Good ,Ok,5,Deacon benevolence ,Ok,Leadership;Value for diversity;Worship services;Community presence;Youth program ministries;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;Bringing in, welcoming, and committing to the inclusion of community members into church life;",CRC heritage sermons ,Good ,Community outreach ,"Good sermons, live in the neighborhood ",Pastoral ,Fostering belonging 
59,11/28/25 14:40:29,11/28/25 15:15:07,Weekly,Family Promise when active; Youth group when called on.  Worship service participation when called on.e;,"We have an orderly and full liturgy, including confession of sin.",Add regular recitation of the Apostles' Creed (or Nicene).,"Yes, the blend is good.",2,3,Satisfied with current practice.,Youth Groups;Catechism;Cadets;,Adult education classes.,Not sure; perhaps enhanced personal visitation by pastors and elders?,"Our congregation has several good activities that reach out to neighbors (food pantry, friendship) but perhaps our discipling part of the mission statement is weaker.  WE would all be helped with intentional training in evangelism.",Community nights seem increasingly less attended and effective.,An evangelistic effort such as Alpha.,3,Through its diaconal ministry.,I think our current efforts are sufficient,Friendship program which has made us a hospitable congregation.;,WE are an aging congregation.;The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;Societal expectations and pressures;",God is in charge; preaching has accented this in recent years and I see intentional efforts to seek and do God's will.  Reformed accent also includes being a confessional church---this is something we need to work on.,"Somewhat shaky---mostly because we have not had an open and free discussion about some key issues, notably human sexuality. Not sure if all church members fully understand the denomination's stance.",I see a key goal drawing in youth and younger familieis.,"A track record of solid biblical and confessional preaching that is lively and fresh.
A willingness to address tensions and conflicts in a winsome, pastoral manner.",Strong leadership should be exercised by members of council in cooperation with staff.,Solid biblical preaching that addresses the challenges of our day and helps us grow in our identity as a Christian Reformed Church.
60,11/28/25 16:14:21,11/28/25 16:59:41,Weekly,"Adult Bible Studies, Various musical Groups, Family Promise (until it recently ended);",An orderly liturgy with an in-depth biblical sermon and good traditional music.,"
Keep member participation to occasional, an keep the focus of our worship on God and not us.","
Yes, but more traditional is better.",2,3,Not really.,GEMS;Cadets;Catechism;,N/A,N/A,I think this is one of PH's better strong points.,We are doing a great job in these efforts.,N/A,3,In our World Mission and community out reach efforts.,N/A,Worship services;Community presence;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,I think there are many options and choices for people to choose where to worship in a GR CRC church. It ultimately lies in where their needs and preferences are met.;,People take their relationship with God seriously and seek to be spiritually fed and live lives that honor God.,"On the whole I think it is good, but I feel there are some members who are not sure about where they stand on some issues.",We have many older members and need more younger families to survive into the future.,Strong biblical preaching to help us grow in our relationship with God and fellow humans.,There must be a good cooperation between staff and members of council along with a strong leadership by council members.,In the first year focus on in-depth preaching and get to know the people and their needs.
61,11/28/25 16:47:23,11/28/25 17:00:05,Weekly,"Small Groups: Equip Group, Oasis Group;Mem's brealfast group;","Inclusion of F\Friends""' Good music (but I miss singing more of the old familiar hymns); Bible-centered preaching.",Recotomg tje A[pst;es' Creed regularly; Singing more familiarf old hymns (as noted above).,"As noted above, I would like to sing more of the traditional hymns (especially since I can't read the scren, and even the large print songs are difficult to read.",2,3,Satisfied with present involvement ,Book Clubs;Medn's breakfasta group; Senior memebers' meetings;,I appareciate the Prayer group and Bible Study group,"As one who recently became a member of PHCRC, I felt that the official welcome was weak and delayed too long.  ",It's a good mission statement. Maybe we need remimders occasionally from the pulpit?,"I appreciate these programs even though at my age, I  have minimal involvement in therm.",Nothing specifically,3,"Its embracing of ""friends"" is commendable. ",Keep encouraging these efforts ,Worship services;Community presence;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;I'm grateful for PHCRC's loyalty to the denominational positions on human sexuality.;","Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;",Adherence to denominational positions as we encourage and accept and fellow strugglers.,I hoe it continujes to be strong and supportive of denominational minisitries,Clarity in providing biblical support for struggling individuals and families. ,"A pastor with two good ears for listening well to us as congregants and especially to the Lord as He Prepares to speak to us through the Word,, both in and out of the pulpit. ",I think we have seen a good sharing of ministry at PHCRC. ,A pastor who walks humbly with the Lord and who loves congregants and neighbors with the love he receives from God.
62,11/28/25 21:08:44,11/28/25 21:33:49,Weekly,"Small Groups: Equip Group, Oasis Group;Dwell, Gems, Cadets, or other youth programs;Community Nights;",participation of many church members and not only the leaders.,New variety of songs including some newer songs.,would like to have more contemporary but not totally replacing traditional,4,3,,Dwell;GEMS;Choristers;,mentorship opportunities within the congregation,more small group lunch/dinner/coffee options for people to get to know each other in not such large settings that can be overwhelming.,I don't think the neighborhood knows the church well. Living in the neighborhood I don't hear other neighbors sharing about what PHCRC does. It is good to invite the neighborhood to community nights. ,n/a,ways to invite people of all ethnic groups into the church and involvement. ,3,The church should be more vocal on justice needs. There is so much happening in the world yet it is rarely spoken about from the pulpit. The church speaks about supporting immigrants but does not speak out against what is happening to them in our very own community. The church has an obligation to stand up for justice for others even if it makes some in the church uncomfortable. There could be options to discuss this in small group settings. ,"I'd like to see the church take more of stand for justice issues in the community and be more vocal. This is a deterrent to many people looking for churches, especially younger people who want a church that will stand up for their human rights values. This includes having more opportunity for the congregation to discuss CRC policy, specifically around LGBTQIA+ members of the congregation. The church should be viewed as a safe space, not a space of judgment. If we choose to remain a part of the CRC and follow the guidance then there is an obligation to stand up for those people that are being marginalized.  ",Youth program ministries;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;",Busy lives/competing priorities ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;creating a welcoming space for more diverse populations outside of the white community;,n/a,It seems like many in the church don't agree with the CRC's stance on LGBTQIA+ but the church wants to take a balanced stance. It is important to remain a voice within the denomination but I'm not sure that we are doing that. ,Expanding diversity and community involvement. Becoming more vocal in standing up for justice that harms our neighbors and people within the Grand Rapids community. ,"pastor with experience with diverse backgrounds, places and groups. Who is accepting of all people and seeks out opportunities to connect. Someone who can guide based on understanding the congregations vision and goals. ",n/a,"enhancing diversity, speaking up for justice"
63,11/28/25 21:43:20,11/28/25 23:17:17,Weekly,"Small Groups: Equip Group, Oasis Group;Community Nights;Adult Book Studies: Guys Group, Ladies' Bible Study;","Biblically-based preaching
The sermon's application to my spiritual and daily life
The order of worship is very well organized and lends meaning to my worship.
I enjoy the choice of music/songs...lots of variety
We have exceptional musicians and our main organist is wonderful
I enjoy the variety of ages that participate in our services
The use of audio and visual technology in the service","While I appreciate and enjoy the variety of music offered during our worship services, I feel that the singing is too SLOW (I'm not shouting, just emphasizing the word ""slow"").  Even if the songs are appropriate and meaningful, the slowness/pace of praise songs/hymns can be dirge-like.  Even when the song's lyrics speak of joy and praise, the slowness of the musicians, any accompaniest and song leaders tend to drag.

I'm an older member and I enjoy singing, but I worry that the slowness of our singing is not appealing to younger members or to anyone who considers joining our church.  After church we feel that we need to apologize to visitors (college students sometimes) for the slowness of the singing.

Over the decades we have encouraged our music directors to speed up the delivery/pace of some songs, but to no avail.  Sadly, while the worship services are wonderful in most aspects, I find the slowness of the singing to be irritating and I find it neutralizes my worship experience.  I've made my attitude a matter of prayer, but I can't seem to get past it and often wonder if other members/visitors are also affected. 
",I enjoy the variety of songs and hymns.  I enjoy the traditional and contemporary music!  My only concern is the slowness of the singing.  Many times a God-glorifying song is sung at a dirge-like pace.,3,3,"I like the variety of ages participating in our worship services be it as musicians, song leaders, scripture readers, those who pray...we're doing great in that department!",Small Groups;,Continue to offer small group studies if possible.,"Encourage volunteerism in our church activities via church sermons.  Be direct in asking for commitment to any one of the church's activities.  Is God calling you to.......? 

Designate members to call members and ask them to volunteer for various activities.

New members need to be ASKED to events, small groups, dinners, projects...don't let them be fringe members.","Given our declining membership and volunteer base, I think that PHCRC does a great job of living out our mission statement.
We are inclusive:  Friendship, Community Nights, Wednesday night kids' programming, small groups, dinners, Food Pantry, Threads and Things, the Church campout","We do a great job of reaching out to our community.

Sadly, many of the organizational aspects of planning and carrying out the above efforts are falling on the shoulders of people who are already overwhelmed with church responsiblities.","Financial support or donations to more community agencies...Bethany Christian Services, the Covenant House (for homeless youth), Family Promise (last week's collection), Crossroads Prison Ministry, etc.",5,"Our sermons emphasize those aspects a great deal.

Many of our outreach activities involve exercising ccmpassion, mercy and justice.

We used to have a very effective Stephen's Ministry in our church.  It disappeared after COVID and we still have members who could be impacted by church members who could be emotional ""care givers"".","We need to be ""noticed in our community"" and one way to do that is to have an interesting, informative, engaging website.  

We need a professional web designer to design a church website and not just rely on well-meaning church members to try to do it.  Spend the money on a website designer!

To build our PHCRC community and promote unity among members we need an online ""newsletter""..like the old Plymouth Pulse which required a lot of work by a few people...but it was effective and informative.  The new ""online bulletin format"" is a step in the right direction.",Leadership;Worship services;Community presence;Youth program ministries;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;",A new phrase for me!  My spin:  I like being known as a Christian who attempts to reform the world through my attittude and involvement even outside of the church building.,I'm OK with PHCRC's position on the HRS report.  And I don't mind straddling the fence on most denominational issues.  I'm fine with staying in the CRC as a denomination.  I hope that PHCRC and Classis Grand Rapids East merges with an existing classis in the area.,"Get people in the door and involved, all ages, young families especially.  
We need a larger volunteer base to accomplish our goals/God's goals for this church.","Dynamic, thought-provoking preaching.
A personable minister.  One who doesn't mind hanging out with us.
An effective counsellor to those in need.
Loyalty
Be the principal leader in the ""designing the worship service"" while being mindful of the talents of other participants but not letting individuals dictate their version of worship.
",Hm-m-m...no answer to this one,"Getting to know us!
Challenge us to get involved.
Get new people/members in the door"
64,11/28/25 23:28:35,11/29/25 0:19:37,Weekly,"Small Groups: Equip Group, Oasis Group;Dwell, Gems, Cadets, or other youth programs;",Beautifully planned. Music that connects with the message and the season. Heavenly musicians and singers. Congregational prayer. Committed people who organize the services. Celebratory. Room also for lament and honesty. Healthy and Christ-honoring.,"Continue to every now and then add a line or two or another language, eg. of members of the congregation whose mother tongue is different (Chinese, French, Dutch, Portuguese etc.). When we have done this it has been widely appreciated and celebrated.",For me it does. I find it very rich. I enjoy music that is theologically rich and God-focused (rather than excessively me/congregant-focused). It also doesn't hurt to include a little contemporary/different in the mix every now and then.,3,3,I liked seeing Evangeline join the singing team so soon after joining the church. Continue connecting people where their gifts are.,Small Groups;Mobile Food Pantry;,"College Student Ministry, intergenerational connections","More meal opportunities (eg. breakfast, Sunday lunch). Or other events on Sundays before/after church.","Members are very aware of the people in their community and daily life and many are not shy about inviting others into the community. With a little creativity, we could be brining more people into the community. There does not have to be 'official' ministries or events set up to invite people in/ connect people / meet people's needs. ","All wonderful. Good to continue to pray how we can connect even more with neighbors so they can feel that they are welcome to attend church, particularly those who may feel intimidated because they do not know much about Christ, etc.","Perhaps not just initiatives, but people to be encouraged to invite their neighbors/friends/colleagues to church. Particularly if there is a meal, or special event (eg. Christmas etc.), as this can be easier to do.",3,Food pantry. Benevolence. Praying for needs of people all over the world who are suffering. The prison ministry.,Not sure for the moment. This would require more thought and prayer to answer...,Worship services;Leadership;Value for diversity;Community presence;Youth program ministries;,"The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;","It means being a part of a healthy and well-rounded community, rooted in sound theology and participating heartily in the life of the church, as well as in the place God has put us in the world (profession/calling/roles etc.) with the power of the Holy Spirit. (I have experienced other denominations that I have experienced as less 'healthy' or balanced).",I'm glad PHCRC is a part of the Christian Reformed denomination.,Connecting with those who live around Plymouth Heights through prayer and action. Connecting with and nurturing college students. Good discipleship and growing in maturity for those who are already in the community. To be equipped for new people who will join.,Maturity. Wisdom. A servant leader. Experienced in working with people from different backgrounds. A good listener. ,I'm not sure about this. I would have to think more.,"To get to know the community, take their time. The new pastor will likely be stepping into the role with different expectations put upon them (in various ways). It will require wisdom to navigate this and discern priorities. "
65,11/29/25 22:22:04,11/30/25 0:17:55,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Dwell, Gems, Cadets, or other youth programs;","The way services are put together--with liturgy, music, prayers, sermon all cohesively contributing to God's words and blessing to us and giving voice to our worship of Him.",I appreciate incorporating as many members as possible in leading/contributing to worship services.  ,"Yes, it does.  I have always appreciated that we have music and words displayed with all of our hymns and other songs.  This allows us to sing in parts and I believe our congregational singing is very good.",2,3,"I think we could invite more of the middle- and older-age members to read Scripture, along with the youth and those for whom English is not their heart language.",Seasonal Choir;Mobile Food Pantry;Book Clubs;,"I wonder about starting a Caregivers support group, possibly a meals ministry.  Would love to see choral opportunities started up again.","Some years ago, we invited every person (preschool to adult) attending PHCRC to fill out an age-appropriate yearly list of their interest in ministry opportunities.  I believe this helped people know what all the ministry opportunities are and in what areas they felt qualified/interested to serve.  It also let people change up what they wanted to do from year to year (e.g., I'd like to help lead GEMS this year and not be a DWELL teacher).  ","I don't know, mostly because this past year I personally have not been able to be as involved in PHCRC due to family caregiving commitments.  It seems like we continue to live out both sides of this mission.","It seems that DWELL, GEMS/Cadets, play groups, community nights, food pantry, etc. are successfully bringing neighbors to PHCRC.  It was sad when Family Promise was no longer an option for service from our church.",Perhaps a caregiver support group? Meals ministry? Vacation Bible School?  Would love to see PHCRC re-engage in SERVE projects or other intergenerational service opportunities.,3,Our mobile food pantry and benevolence efforts are very effective.  ,I wonder about inter-generational service opportunities such as Habitat for Humanity or ICCF related to housing.  Is there a place for Colossian Forum seminars or workshops to equip members and neighbors to better engage in personal and community needs?,Worship services;Leadership;Value for diversity;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;Societal expectations and pressures;Nurturing young people to join, participate, and grow into lifelong, active church members ;","It means being people who love the Lord God with our whole hearts, minds, souls, and strengths and who long to keep learning and growing in faith and action.  Our creeds, confessions, and denominational scholars and ministries provide a wealth of knowledge and direction for actions.  Our PHCRC worship services and other ministries equip us to understand God's calling and sending us out into the places we live, work, and play to be light and salt in a dark and hurting world.  ",I believe we have been effectively living out a desire to remain together as a committed local body of believers who have previously been nurtured by the Christian Reformed denomination AND have a continuum of diverse views (settled and unsettled) about recent Synodical rulings.  I hope there will remain a place for congregations like ours in the CRC denomination.  ,"I hope for expanding membership and involvement of people from all ages, ethnicities, and other social characteristics.  I hope that we can re-invigorate our commitments to love the Lord and our neighbors.","Our pastor must be committed to the Lord and the ministry to which s/he is called AEB deep devotion to studying the Bible and teaching/equipping our congregation (both members and community) with knowledge, skills, and wisdom to grow in and live out our faith.  Our pastor should be skillful in engaging with individuals and groups to both discern what gifts exist and challenge us as a congregation to move forward in whatever areas the Lord is opening for us to be more effective as part of His body here at PHCRC. ",I think partnerships are valuable between lay leaders and pastoral staff--they capitalize on the strengths and gifts of all parties to effectively accomplish the work and propel vision and goals into reality.,"Continuing to heal and build relationships among ministry staff and with members; engaging with staff, lay leaders & congregation members to identify specific short- and long-term goals related to next steps in PHCRC's ministry; and leading implementation of strategies to move forward very soon to accomplish them."
66,12/3/25 21:34:33,12/3/25 21:44:24,Weekly,None of them. I only attend Sunday worship.;,"The inclusion of the children and other members in parts of the service
The inclusion of Friendship members
The inclusion of various ethnic people 
variety of music
Enjoy the preaching and the music",n/a,n/a,3,3,,,,n/a,n/a,n/a,,3,variety of special offerings,n/a,Leadership;Community presence;Youth program ministries;,"The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;",n/a,n/a,n/a,n/a,n/a,Get to know the congregation
67,12/3/25 21:45:22,12/3/25 22:33:33,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Strings 'n Things;Community Nights;Prayer group / at times children's worship;","To worship with a congregation we have been part of for nearly 20 years is a blessing.
Love the music and instrument players up front. Specially the violin / guitar / trumpet / saxophone / drums/
Love that Pastor Stan is contributing with his guitar playing also.","1. Use a good representation of the diversity available at our church.
2. Sing some Spanish songs too
3. Use Febe, Pastor Enrique and their son who sings well a little more in our services (last name Gomez)
4. Use the Friendship people more children and the elderly for readings and singing","The music is good and much appreciated.
Thy lyrics of the hymns chosen have a powerful effect.
Choose wisely to minister to our current needs felt",3,2,Yes! Invite people according to their talents as you see fit.,Strings 'n Things;Mobile Food Pantry;Bible studies and book discussions;,1/ Make programs available for all age groups within the church. 2/ Youth ministry is crucial 3/ Young parents groups urgent 4/ eldergroups to bless the elderly. 5/ Community activities for the congregation to be more regular even if it is pot luck meals that is shared. Eating together strengthens and bonds the community of believers,"1/ Have a variety of programs people may want to explore and be part of
2/ Miss the book discussion groups Pastor Steve De Vries used to lead
3/ Make communion at least monthly if not feasible to have every 2 weeks.  It is a sacrament that should be shared more regularly.
","1/ This differs from person to person.
2/ Are we learning how to be good neighbors?
3/ evangelism or inviting neighbors is part of the love we are to extend to our neighbors","community nights, GEMS/Cadets, food pantry
1/ The three above are a blessing it looks like.
2/ Prayer walks I have not heard of!","More community activities within the church.
1/ That would bring our community together as a congregation.
2/ Activities that we could invite neighbors into our church",3,"1/ We are friendly and inviting to those who visit.
2/ Are we showing compassion / mercy / and justice / where needed?","Act justly, love mercy, and walk humbly with our God",Leadership;Value for diversity;Worship services;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;1/ Are we ready to welcome anyone in Jesus name? 2/ Do we have equal value for people from differing ethnicities and cultural backgrounds? 3/ We can grow more in these areas.;","Busy lives/competing priorities ;Societal expectations and pressures;Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;Our opinions and outlook may differ but we are one family in Jesus! And we should learn to love one another as Jesus loved us all and has included us in His great big family;",We are reformed when we come to know Jesus personally and learn to follow His ways ,"Hmm that is a question!
Our church is holding together in Christ 
People with differing viewpoints.
To me that is a good thing.",Young parents are needed in this church with young families,"1/ People skills
2/ friendliness
3/ ability to listen
4/ be unbiased
5/ Love for Jesus and for all who God made
6/ Able to listen and help keep the church together even with differing viewpoints","1/ That is a great idea which will be helpful to the pastoral staff as well.
2/ There is need for lay leaders
3/ Find more lay leaders and equip them for service in the church","1/ fostering belonging, enhancing diversity
2/ community engagement
3/ strengthening youth
4/ Teach people how to live peaceable in a diverse culture with opposing agendas and political ideologies.
Thank you for taking the time to read my input. Grateful to God for our church. May our church be a beacon of Christ light and love in our community and to our congregation. Amen"
68,12/8/25 8:45:25,12/8/25 14:01:16,Weekly,"Dwell, Gems, Cadets, or other youth programs;",The traditional service and the music,Blend of traditional and contemporary music.,Yes,3,2,N/A,GEMS;Friendship Group;Mobile Food Pantry;,N/A,Maybe a early morning breakfast bible study during the week.  ,Good.  The community nights and food pantry are good examples. ,See above ,N/A,3,N/A,N/A,Worship services;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Busy lives/competing priorities ;Nurturing young people to join, participate, and grow into lifelong, active church members ;",That God has a plan and is ultimately in control. ,Still un-easy about it.  The denomination hiring Ben made me question if they really value individual churches and what is best for them.  ,Growing the younger member population.  There are very few 20 somethings at PHCRC.  ,Someone that can unify people. ,I think the Counsel and the Pastoral staff need to work together and share responsibilities. ,Attracting more young families and livening things up. 
